"origin";"destination";"carrier";"year";"month";"passengers"
"IAD";" PTY";" CM";2010;1;2276
"JFK";" PTY";" CM";2010;1;3646
"LAX";" PTY";" CM";2010;1;3708
"MCO";" PTY";" CM";2010;1;7470
"MIA";" PTY";" CM";2010;1;11610
"PTY";" IAD";" CM";2010;1;3100
"PTY";" JFK";" CM";2010;1;3731
"PTY";" LAX";" CM";2010;1;4023
"PTY";" MCO";" CM";2010;1;7432
"PTY";" MIA";" CM";2010;1;11702
"PTY";" SJU";" CM";2010;1;4597
"SJU";" PTY";" CM";2010;1;4273
"IAD";" PTY";" CM";2010;2;2656
"JFK";" PTY";" CM";2010;2;3799
"LAX";" PTY";" CM";2010;2;4032
"MCO";" PTY";" CM";2010;2;6769
"MIA";" PTY";" CM";2010;2;10346
"PTY";" IAD";" CM";2010;2;2475
"PTY";" JFK";" CM";2010;2;3362
"PTY";" LAX";" CM";2010;2;3761
"PTY";" MCO";" CM";2010;2;6142
"PTY";" MIA";" CM";2010;2;9673
"PTY";" SJU";" CM";2010;2;3721
"SJU";" PTY";" CM";2010;2;3806
"IAD";" PTY";" CM";2010;3;3079
"JFK";" PTY";" CM";2010;3;4094
"LAX";" PTY";" CM";2010;3;4483
"MCO";" PTY";" CM";2010;3;7519
"MIA";" PTY";" CM";2010;3;11174
"PTY";" IAD";" CM";2010;3;3204
"PTY";" JFK";" CM";2010;3;4167
"PTY";" LAX";" CM";2010;3;3919
"PTY";" MCO";" CM";2010;3;8190
"PTY";" MIA";" CM";2010;3;10388
"PTY";" SJU";" CM";2010;3;4472
"SJU";" PTY";" CM";2010;3;4707
"IAD";" PTY";" CM";2010;4;1800
"JFK";" PTY";" CM";2010;4;3422
"LAX";" PTY";" CM";2010;4;3718
"MCO";" PTY";" CM";2010;4;7567
"MIA";" PTY";" CM";2010;4;9700
"PTY";" IAD";" CM";2010;4;2798
"PTY";" JFK";" CM";2010;4;4057
"PTY";" LAX";" CM";2010;4;3753
"PTY";" MCO";" CM";2010;4;7819
"PTY";" MIA";" CM";2010;4;8992
"PTY";" SJU";" CM";2010;4;4709
"SJU";" PTY";" CM";2010;4;4697
"IAD";" PTY";" CM";2010;5;2013
"JFK";" PTY";" CM";2010;5;3762
"LAX";" PTY";" CM";2010;5;3831
"MCO";" PTY";" CM";2010;5;6964
"MIA";" PTY";" CM";2010;5;8885
"PTY";" IAD";" CM";2010;5;2144
"PTY";" JFK";" CM";2010;5;3492
"PTY";" LAX";" CM";2010;5;3582
"PTY";" MCO";" CM";2010;5;6958
"PTY";" MIA";" CM";2010;5;8233
"PTY";" SJU";" CM";2010;5;4336
"SJU";" PTY";" CM";2010;5;4796
"IAD";" PTY";" CM";2010;6;2296
"JFK";" PTY";" CM";2010;6;3501
"LAX";" PTY";" CM";2010;6;4391
"MCO";" PTY";" CM";2010;6;6096
"MIA";" PTY";" CM";2010;6;9036
"PTY";" IAD";" CM";2010;6;2281
"PTY";" JFK";" CM";2010;6;3299
"PTY";" LAX";" CM";2010;6;3963
"PTY";" MCO";" CM";2010;6;6475
"PTY";" MIA";" CM";2010;6;8793
"PTY";" SJU";" CM";2010;6;5116
"SJU";" PTY";" CM";2010;6;5837
"IAD";" PTY";" CM";2010;7;3166
"JFK";" PTY";" CM";2010;7;4262
"LAX";" PTY";" CM";2010;7;7927
"MCO";" PTY";" CM";2010;7;7936
"MIA";" PTY";" CM";2010;7;11377
"PTY";" IAD";" CM";2010;7;3283
"PTY";" JFK";" CM";2010;7;3865
"PTY";" LAX";" CM";2010;7;7356
"PTY";" MCO";" CM";2010;7;8573
