"airport";"latitude";"longitude"
"06A";"null";
"08A";"null";
"1G4";"null";
"6B0";"null";
"8F3";"null";
"A02";"null";
"A03";"null";
"A06";"null";
"A07";"null";
"A12";"null";
"A13";"null";
"A23";"null";
"A26";"null";
"A27";"null";
"A28";"null";
"A29";"null";
"A37";"null";
"A40";"null";
"A51";"null";
"A52";"null";
"A57";"null";
"A71";"null";
"A72";"null";
"A74";"null";
"A83";"null";
"A97";"null";
"A98";"null";
"AA8";"null";
"ABE";40.652083;-75.440806
"ABI";32.411319;-99.681897
"ABL";67.106389;-157.8575
"ABQ";35.0402222;-106.6091944
"ABR";45.4491;-98.4218
"ABV";9.006792;7.263172
"ABY";31.5355;-84.1945
"ACA";16.757061;-99.753953
"ACB";"null";
"ACC";5.605186;-0.166786
"ACK";41.253053;-70.060181
"ACT";31.611289;-97.230519
"ACV";40.978111;-124.108611
"ACY";39.457583;-74.577167
"ADA";36.982166;35.280388
"ADD";8.977889;38.799319
"ADJ";31.972703;35.991569
"ADK";51.878;-176.646
"ADQ";57.749967;-152.493856
"ADS";32.9685594;-96.8364478
"ADW";38.810806;-76.867028
"AET";66.5519;-152.6222
"AEX";31.3274;-92.549833
"AEY";65.659994;-18.072703
"AF1";"null";
"AFK";"null";
"AFW";"null";
"AGC";40.3544;-79.9302
"AGN";57.503611;-134.585
"AGP";36.6749;-4.499106
"AGS";33.369944;-81.9645
"AGT";-25.4555;-54.843592
"AGU";21.705558;-102.317858
"AHN";33.9486;-83.3263
"AIA";42.053333;-102.803889
"AIN";70.638056;-159.994722
"AJU";-10.984;-37.070333
"AKB";52.220278;-174.206389
"AKI";60.902778;-161.230556
"AKK";56.938611;-154.1825
"AKL";-37.008056;174.791667
"AKN";58.676778;-156.649278
"AKP";68.1336;-151.743
"AKR";7.246739;5.301008
"AL4";"null";
"AL5";"null";
"ALA";43.352072;77.040508
"ALB";42.748267;-73.801692
"ALM";32.8399;-105.991
"ALN";"null";
"ALO";42.5571;-92.4003
"ALS";37.435;-105.866667
"ALW";46.0949;-118.288
"ALZ";56.899444;-154.247778
"AMA";35.219369;-101.705931
"AMD";23.077242;72.63465
"AMK";"null";
"AMM";31.722556;35.993214
"AMS";52.308613;4.763889
"ANB";33.588167;-85.858111
"ANC";61.174361;-149.996361
"AND";34.494583;-82.709389
"ANF";-23.444478;-70.4451
"ANI";61.5816;-159.543
"ANP";"null";
"ANU";17.136749;-61.792667
"ANV";62.6467;-160.191
"AOH";"null";
"AOO";40.296372;-78.320022
"AOS";57.471389;-153.815278
"APA";39.570129;-104.849294
"APC";38.2131944;-122.2806944
"APF";26.152619;-81.775294
"APG";39.466219;-76.168808
"APN";45.0781;-83.5603
"APW";-13.829969;-172.008336
"ARA";30.037758;-91.883896
"ARC";68.1147;-145.579
"ARI";-18.348531;-70.338742
"ARN";59.651944;17.918611
"ART";43.991922;-76.021739
"ASD";24.698283;-77.795611
"ASE";39.2232;-106.869
"ASN";"null";
"AST";46.157972;-123.878694
"ASU";-25.23985;-57.519133
"ATH";37.936358;23.944467
"ATK";70.4673;-157.436
"ATL";33.636719;-84.428067
"ATT";30.31666;-97.7666
"ATU";"null";
"ATW";44.257526;-88.507576
"ATY";44.914;-97.1547
"AUA";12.501389;-70.015221
"AUG";44.320647;-69.797317
"AUH";24.432972;54.651138
"AUK";62.68;-164.66
"AUS";30.194528;-97.669889
"AUW";44.9262845;-89.6270018
"AUZ";"null";
"AVB";46.031889;12.596472
"AVL";35.436194;-82.541806
"AVP";41.338478;-75.723403
"AXA";18.204834;-63.055084
"AXM";4.452775;-75.766447
"AXN";"null";
"AZ3";"null";
"AZ4";"null";
"AZA";33.307833;-111.655
"AZO";42.234875;-85.552058
"AZS";19.267;-69.742
"BAD";32.50182;-93.662674
"BAF";"null";
"BAH";26.270834;50.63361
"BAK";40.4675;50.046667
"BAQ";10.889589;-74.780819
"BAZ";-0.975;-62.923889
"BBR";16.0133;-61.7422
